par_nr	head	sentence
37	NA	 Ta jättis kirve kus seda ja teist ning komberdas eemale . 
37	NA	 Haaranud riiulilt ühe kustumahakkava küünla , virutas ta selle aknasse . metallist küünlajalg purustas klirinal klaasi . 
37	NA	 Vihm ja tuul haarasid kardinad oma meelevalda . 
37	NA	 Värske õhk tungis puhangutena sisse ja viimane küünal kustus . 
38	NA	 Vihm ja hägune tänavavalgustus . 
39	NA	" "" Teine faas . "
39	NA	 Seda tabas mõningane ebaõnnestumine . 
39	NA	 Biojätked ei olnud veel oma kaitsefunktsiooni minetanud ning nende deaktiviseerimiseks pidin veelkord kasutama zanazööri . 
39	NA	 Selle tulemusena pigistasin katsealuse vaimujõust kuivaks . 
39	NA	 Temast läi järgi umbes 80-sentimeetrine lapsekeha . 
39	NA	 Keha on osaliselt kirve abil avatud . 
39	NA	 Elektrikatkestus ei võimalda selle täielikku avamist . 
39	NA	" Alustan kolmandat faasi : vaimu visualiseerimine . "" "
40	NA	 Tulija heitis pilgu niiskesse ja pimedasse tuppa enda ümber . 
40	NA	 Hämarus neelas nii seinad , lae kui põranda . 
40	NA	 Peale kirvevarre ja helendava aknaava ei suutnud pilk midagi eristada . 
40	NA	 Tulija puudutas pilli ja tuppa hakkas kostma kaugeid dzhunglitrumme . 
40	NA	 Piuksudes sulasid sellesse mõned kõrgemad noodid . 
40	NA	 Hele tilin väristas pimedust . 
40	NA	 Trummid tugevnesid , tilin tugevnes , kalgistus . 
40	NA	 Miski võttis kuju . 
40	NA	 Tulija puuris silmad tumedasse , peaaegu läbipaistmatusse pilkuhajutavasse õhku . 
40	NA	 Ta nägi vähe , kuid piisavalt . 
40	NA	 Selgesti arusaadavalt oli vaim tehislikku päritolu , küberneetiline toode . 
41	NA	" "" Katse tulemus kinnitab hüpoteesi : LOOJA on olemas . "" "
