par_nr	head	sentence
18	NA	 Õnneseened . 
19	NA	 Pigem taluksin kümme korda päevas tuliseks oraks muundunud meeste suguelundit oma tagumikus , kui peaksin veel kord pealt nägema seda , mida toona seersant Urjukoviga tehti . 
20	NA	 Kuigi lõua vigastamine ei ole ägedaloomulisemate meeste hulgas haruldane , tuleb silmas pidada , et nii mõnelegi naisele meeldib arm karvasest lõuast enam . 
20	NA	 Sellest armist õhkub veel möödunud aegade mehisust ja džentelmenlikkust . 
20	NA	 Aegade , mil seksuaalühteni jõudmiseks kaitsti vapralt naise au . 
20	NA	 Tol kaugel härrasmeeste ja naturaalmajanduse ajastul polnud võimalust elukaaslast raha eest osta . 
21	NA	 Kui , siis ehk näljaperioodil paari piraka papaia eest . 
22	NA	 Mida suurem nälg , seda väiksem papaia . 
22	NA	 Kitsastel aegadel kuni kakskümmend grammi . 
22	NA	 Ükski mees ei julgenud naisterahvale läheneda ilma selle lõunamaise viljata . 
23	NA	 Matriarhaat . 
24	NA	 Ja nad olid tollal tõesti tugevad . 
24	NA	 Tõid perele leiva lauale . 
24	NA	 Termiliselt töötlemata juurika . 
24	NA	 Meessugu on neile selle eest tänaseni tänulik . 
24	NA	 Toidab ja katab vana mälestuse eest . 
24	NA	 Sageli piisab ka vaid näitamisest . 
25	NA	 Muide , sile lõug ei vähenda vähimalgi määral meesterahva karismaatilisust , sest seksuaalselt erutavamad karvad kasvavad mitte lõual , vaid rinnal ja jalgadel . 
26	NA	 Seda enesestmõistetavalt ainult meesterahvaste puhul . 
27	NA	 Mõnus on libistada käsi läbi papaiadžentelmeni ürgse karvastiku ning mõõta ta armastuse suurust . 
27	NA	 Mida ümaram kõht , seda suurem armastus . 
27	NA	 Juurikakaupa jagades jätkub koopakaaslastelegi . 
28	NA	 Kuna maskuliinsed kehad on mulle vastunäidustatud nii karvastena kui karvatutena , on siinkohal tegu vaid minu subjektiivse arvamusega , millega poisikeste hindajad ei pruugi nõustuda . 
28	NA	 Protsentuaalselt küllaltki suur osa elanikkonnast eelistab ju homoseksuaalseid ja pedofiilseid suhteid . 
28	NA	 Kuid nooruki liiget hõõrutakse pederastide poolt ka lihtsalt vastu oma jalga , ilma temaga seksuaalsesse kontakti laskumata . 
28	NA	 Taolisel süütu keha puudutamisel ja selles tekkivate protsesside jälgimiselgi on oma võlu . 
28	NA	 Vähemalt nii räägitakse . 
29	NA	 Aga ka lapsed ise näitavad seksuaalmängudes meelsasti oma veel väljaarenemata suguelundeid . 
29	NA	 Mäletate ehk teatud piinlikkustundega isegi neid lõputuid pimedas keldris liikmete kõrvutamisi ja näppudega mudimisi . 
29	NA	 Ärge häbenege , see kõik on loomulik noorukite seksuaalkäitumine . 
29	NA	 Tõuske julgelt kontorilaua tagant püsti , pühkige taskurätikuga oma prillid ning öelge selge ja kõva häälega – jah , ma nühkisin liiget teise mehe jala vastu . 
29	NA	 Ja süda on järsku vaba teid aastaid vaevanud valehäbi taagast . 
30	NA	 Juudiusu seadustiku talmudi järgi võib kolme aasta ja ühe päeva vanuse tüdruku isa loal kihlata koos penetratsiooniga ehk peenise tungimisega vaaginasse . 
30	NA	 Aga poisi imepisikest liiget hakkavad juudid mudima praktiliselt selle sünnimomendist . 
30	NA	 Et pealtvaatajate seksuaalset pinget veelgi tõsta , sooritatakse juudi poisslastel circumcisio . 
30	NA	 Selle piinarikka protseduuri jooksul lõigatakse mudilaste peenise eesnahka . 
30	NA	 Mida kõveraninaliste poisikestega veel pimedas ja ilma publikuta tehakse , teavad vaid rohkearvulised muhameedlased ja nende hingesugulased juudiusulised . 
31	NA	 Juutide naabrid ja kaimud araablased harrastavad poiste ümberlõikamise kõrval ka tütarlaste ümberlõikamist . 
31	NA	 ( Komme on säilinud ka Musta Aafrika neegrite seas , keda ei ole veel tsiviliseerida jõutud . ) 
31	NA	 Selle iidse tava kohaselt kas eemaldatakse neidude eruti nahavoldike või kärbitakse kliitorit . 
31	NA	 Paljudel juhtudel lõigatakse ära ka väikesed häbememokad . 
32	NA	 Paraku on kliitorilõikamisrituaali läbinud neidudel tunduvalt raskem orgasmini jõuda , kuna nii jääb sugulise rahulduse saavutamine peamiselt G-punkti , mitmesuguste õrnuste ning naha ja limaskestade silituste peale . 
32	NA	 Selle vastu on aga täielikult feministid , kes nõuavad naistele meestega võrdse töö eest suuremat palka . 
33	NA	 Kuna käesolevat lugu antakse edasi esimeses isikus , siis ausa jutustajana ei tahaks ma piinlikke fakte varjata . 
33	NA	 Seega pean selguse huvides lisama , et mõistan suurepäraselt inimkonna füüsiliselt kaunima poole kohatist meestepõlgust . 
33	NA	 Kes meist siis tahaks haisvat karvast siga enda kõrvale voodisse ilma materiaalse kompensatsioonita . 
33	NA	 Või ka karvatut ? 
33	NA	 Ega neil suurt vahet ole . 
33	NA	 Nagu ka sellel , kas mõni inimkonna suuremakasvulise poole esindaja kehaosa on tahtejõuline või tahtejõuetu , kaarega alla või üles . 
34	NA	 Kuigi väidetavalt eelistavad naised tahtejõulise lõuaga raseeritud okassigu . 
35	NA	 Need olevat keskmisest alatumad ja enesekasupüüdlikumad . 
35	NA	 Kellele aga ei meeldiks raha . 
35	NA	 Okassigu ülekantud mõttes . 
36	NA	 Eks neid lühikese ja igava elu poolt kõrva taha pandud tähelepanekuid ole teisigi . 
36	NA	 Nagu see , et hommikul ei maksa unise peaga habet ajama minna enne äratuskella äratusmehhanismi käivitumist . 
36	NA	 Või suurest agarusest ühiskondlikus WC-s lõuga kraapida kolme minuti jooksul , mil sinu kõrval urineerib kadeda iseloomuga kolleeg . 
37	NA	 Siuh . 
38	NA	 Kõri , kui õrna kehaosa , läbi lõikamiseks piisab ühest tugevamast tõmbest . 
38	NA	 Tee sa siis takka järgi täiesti keskmisele uurijale selgeks , et sinu enda käsi ei värisenud ega vääratanud Adama sõlmelt udemeid kraapides . 
38	NA	 Sinist väikesekasvulist laipa ei usu keegi . 
38	NA	 Rondina lamavat ausameelset laipa . 
39	NA	 Panete tähele – ausameelset . 
39	NA	 Olen püüdnud sellest kaasasündinud vaimupuudest igati vabaneda . 
39	NA	 Paraku tulutult . 
39	NA	 Fenomeni saab võrrelda raskest selgrookõverdusest lahtisaamise sooviga . 
39	NA	 Pinguta kuidas tahes , aga küür ei kao kuhugi . 
39	NA	 Ei aita siin kirurgi nuga ega türgi saunas kontide väänamine . 
39	NA	 Ainus , mida teha saate , on depressioonihoos endale nöör kaela siduda . 
39	NA	 Oluline on ainult jälgida , et te ei jääks küljega välisukse poole . 
39	NA	 Seda üleliigset naeru pole kellelegi vaja . 
40	NA	 Sama kehtib ka aususe suhtes . 
40	NA	 Ärge kunagi mainige hüvastijätukirjas , et panite kabla kaela aususest . 
40	NA	 Austage ka teiste inimeste tõekspidamisi . 
40	NA	 Nende , kes peavad oskamatust valetada raskekujuliseks psüühiliseks kõrvalekaldeks . 
41	NA	 Ausus on haigus , nagu iga teinegi , mis sind paratamatult varem või hiljem murrab . 
41	NA	 Parem siis juba hiljem kui mitte kunagi . 
41	NA	 Nii jääb sust vähemalt märtri oreool . 
41	NA	 Väikese ausa märtri . 
42	NA	 Olete ehk isegi tähele pannud , et lõuakraapimine , kui ohutu protseduur see ka ei ole , lõpeb vahel ohtra verega . 
42	NA	 Ja mis kõige paradoksaalsem – su enda omaga . 
42	NA	 Reeglina püütakse ju kaaskodanikesse auku teha , kõri läbi lõigata , noaga susata , knopkaga tagumikku torgata . 
43	NA	 Mõni neist vaestest torgatutest vaatab sulle sinisilmselt mõistmatu pilguga otsa – teeskleb . 
43	NA	 Mõni peab aga uskumatult kaua vastu – vingerdab , püüab knopka pehmes kehaosas või nuga seljas eemale roomata . 
44	NA	 Aga asjata , sest suur verekaotus teeb ohvri nõrgaks . 
44	NA	 Pealegi oled sa , suskaja , osav poiss . 
44	NA	 Oled juba kord asja käsile võtnud , viid selle ka meie põhjamaa rahvale omase visadusega lõpuni . 
44	NA	 Oi siis seda verd . 
44	NA	 Ime , et sulle pole veel teravad vampiirikihvad kasvanud . 
44	NA	 Teate küll , niisuguseid , mis jätavad kaelale maohammustuse sarnased jäljed . 
45	NA	 Reptiili käest võid ehk kiire poisina pääseda – uputad oma hetkelise kondivalu viinasse ja peagi paistetus kaob . 
45	NA	 Kerge hammustus on mõne aja pärast hetk elust , mälestuseks 78 õmblusarmi . 
45	NA	 Vereimejate käest pole aga pääsu . 
45	NA	 Nad jälitavad sind nagu hagijad saaki kuni surmani . 
45	NA	 Ole sa siis nõnda suur ja julm karu kui tahes – mesikäpp , põhjamaiste metsade kuningas . 
45	NA	 Kogenud koerte vastu sa ei saa . 
46	NA	 Ega need lätlasedki teisest puust ole . 
46	NA	 Saavad asjaga keskmise mehe tasemel hakkama . 
46	NA	 Lõdvalt . 
47	NA	 Knopkaga . 
48	NA	 Nende surma oodata on lootusetu . 
49	NA	 Hagijate . 
50	NA	 Kindlasti tuleb aga ka maohammustuse ohvritele läheneda individuaalselt . 
50	NA	 Kellele kerge paistetus , kellele piinarikas tursunud enneaegne surm . 
50	NA	 Paistetuse ulatus sõltub pigem hammustatavast kui hammustajast . 
50	NA	 Tooksin paralleeli elust – kes viskab vedru välja juba esimese tapjamesilase torke peale , kes peab vastu miljon sutsu . 
50	NA	 Tuhat . 
51	NA	 Olen lugenud , et välismaal toodetakse žilette , mis püramiidis taastavad oma habeajamiseelse teravuse . 
51	NA	 Seal on mõtleva inimese jaoks muudki põnevat . 
51	NA	 Nende jaoks , kellel pole olnud võimalust piiritagust maailma nautida , ütlen , et karvase makaagi vabadust siiski piiratakse ka sealsetes avarates ning looduslähedastes loomaaedades . 
51	NA	 Võib-olla te ei tea , aga osa meie immigrantidest ja inimestest töötab sealsetes loomaaiavõrkudes lähimate suguvendadena loodusest . 
51	NA	 Imiteerivad isegi lühemaid hüppeid , haaravad kinni liaanidest , karjuvad . 
52	NA	 Näitavad punast tagumikku . 
53	NA	 Aga seda ainult peale lepinguliste suhete lõppemist . 
53	NA	 Ahvina töötamine on meie edasipürgivatele inimestele tavaliselt vaid vaheastmeks inimlikuma elukutse suunas . 
53	NA	 Nende unistuste tipp on arstina töötamine . 
53	NA	 Kujutage korraks ette , milline elu unistuste tipule järgneb – käpp pidevalt kullas . 
54	NA	 Naised , viin , noored poisid . 
55	NA	 Vaevumärgatavate mustade ebemetega lõual ja kubemepiirkonnas . 
56	NA	 Väristan külmakartlikult õlgu . 
57	NA	 Parem siis juba aus ahv . 
58	NA	 Muide , ka need mustade ebemetega noorukid unistavad ahvi elukutsest , mis on meesprostituudi omast hinnatavam . 
58	NA	 Ka pole ahvidel pärasooleprobleeme . 
58	NA	 Tõsi , üks mu lähedastest tuttavatest , kes oli karjääriredelil tõusnud meesprostituudist pediaatrini , kurtis , et ka doktoriametil on teatud miinused . 
58	NA	 Kuidas ma ka ei pinninud , mees neid ei avaldanud . 
59	NA	 Kumb on etem amet , kas prostituudi või sugulase oma , pole minu kompetentsis otsustada . 
59	NA	 Eks igal elukutsel ole omad head ja vead . 
59	NA	 Ühelt poolt mõningased piirangud liikumisraadiuses , teisalt pead jälle meelalt jalgu laiali ajama , lõbusalt naerma , harkasendeid võtma , Ülaagreid laulma . 
59	NA	 Õnneks pole mul mõttessegi tulnud valida mitteerialast tööd . 
60	NA	 Kuigi jäsemed painduvad hästi . 
61	NA	 Nagu baleriinil . 
62	NA	 Peaaegu nagu . 
63	NA	 Ja ka viisipidamisega saan suurepäraselt hakkama . 
63	NA	 Olen nimelt aastaid segakooris laulnud . 
63	NA	 Rõhutan veelkord – segakooris . 
63	NA	 Naljaga pooleks võib öelda , et lööksin Hollywoodis laulva maailmakirjanduse õppejõuna läbi . 
63	NA	 Eriti sobiks mulle aafrika kirjanduse andmine . 
63	NA	 Iga vähegi rütmi pidav mustanahaline kirjaoskaja ja Musta Mandri kirjanduse õppejõud oskab ka trummi mängida . 
64	NA	 Aga mere taga oodatakse ainult proffe . 
64	NA	 Amatöörina seal läbi ei löö , ole sa kui painduv tahes . 
65	NA	 Iga aastaga kasvab nende arhantropuste arv , kes suunduvad Läände paremat elu otsima . 
65	NA	 Loomulikult olen pigem inimene siin , kui hästitoitunud ahv seal . 
65	NA	 Ometi olen teatud kibestumushetkedel mõelnud , et kui saaksin kuidagi ühendada need kaks vanimat elukutset – ahvi ja prostituudi oma – siis topelttasu eest võiks ju ka proovida . 
65	NA	 Eeldused on ju olemas – painduvad . 
66	NA	 Tegemist on siiski spekulatiivse ja raskesti realiseeritava ideega . 
66	NA	 Loomaaed on ju eelkõige lastele ja rikkumata noorsoole orienteeritud asutus . 
66	NA	 Lahjad põdrapullid ja kaamelid pole vaatepilt ärimaailma haidele . 
67	NA	 Eeslid . 
68	NA	 Ponid . 
69	NA	 Neilt pole peale naha midagi võtta . 
70	NA	 Muide , pättide käes on ohutust lõikajast žilett muutunud ohtlikuks tööriistaks , vaheda habemenoa asendajaks . 
70	NA	 Just tööriistaks , sest paljudele on see julm kõrilõikamismäng elu , kogenematutele töö ja edasijõudnuile elutöö . 
70	NA	 Ainult habemeajajad ei mängi . 
70	NA	 Raske töö toob neile hallid karvad pähe , viib enneaegselt hauda , laiendab jalaveene . 
71	NA	 Mäletan selgelt seda aega , kui töötasin veel juuksur-habemeajajana . 
71	NA	 See kõik oli nagu eile : pesemata pead , laienenud jalaveenid , vahutupsud , iharad pilgud , osavad kiired liigutused . 
71	NA	 Ja mitte tilkagi verd . 
71	NA	 Peaaegu mitte tilkagi . 
71	NA	 Selle mõne tilga pärast aga lausa hulluti haiglaselt . 
72	NA	 Tungiti kallale . 
73	NA	 Solvati füüsiliselt . 
74	NA	 Ometi ei antud neid tilku mitte kuradile vaid intelligentsele habemeajajale . 
75	NA	 Mitte ohtlik amet ei röövinud mult kolme esihammast , vaid labiilse närvisüsteemiga debiilikud . 
76	NA	 Linnapea . 
77	NA	 Rektor . 
78	NA	 Ja bisnesman . 
79	NA	 Eriti solvav oli viimase turvamees . 
79	NA	 Kolmest kaks jäid tema sääremarja . 
79	NA	 Peale väikest intsidenti oma nägu peeglis märgates mõistsin , et füüsiline töö pole minu jaoks . 
79	NA	 Eelistasin nimelt pehmele pudrule vintsket liha . 
79	NA	 Kasvõi tagumiste lamedate kikudega . 
80	NA	 Habemepügamisbisnesis löövad läbi vaid karmid mehed . 
81	NA	 Kuid mitte veristest karvatüügastest ei tahtnud ma täna rääkida . 
81	NA	 Kui jälgite mu juttu tähelepanelikult , taipate isegi , milles asi . 
81	NA	 Tohutu suure ja koostööaldi pingutusega . 
81	NA	 Kes on öelnud , et valu peab lugema sada lehekülge tunnis , lehekülge võib lugeda sada tundi . 
82	NA	 Tol kõledal maihommikul ajasin taas oma pikaksveninud haritlashabet . 
82	NA	 Mäletan toda kauget päeva kui eilset . 
82	NA	 Hommikud on meil eriti kõledad ja rusuvad , sombused . 
82	NA	 Nad vajuvad sulle peale , tungivad su reumaatilistesse liigestesse , ümbritsevad sind oigeid täis uduna . 
82	NA	 Su painduvad jalad muutuvad aastatega paindumatuteks valutavateks köntideks . 
82	NA	 Nad on sul küll all , aga kõverad . 
83	NA	 Reuma . 
84	NA	 Radikuliit . 
85	NA	 Osteoporoos . 
86	NA	 Gangreen . 
87	NA	 Keegi ei usugi , et kunagi paindusid nad sul suurepäraselt . 
88	NA	 Peaaegu nagu baleriinil . 
89	NA	 Balletitantsijatel , nagu tänapäeval on kombeks neid meessoost androgüüne kutsuda . 
90	NA	 Ja kui saabub vaikus , surud käed kõrvadele . 
90	NA	 Sa ei sarnane uduga kohanenud inglasega , sest tema jalad ei kõverdu aastatega . 
90	NA	 Nad ei kattu isegi soojendavate karvadega . 
90	NA	 Bussiaknast ujuvad aeglaselt mööda okastraadiga ümbritsetud tsemenditehased , ketrusvabrikud , põlevkivikaevandused , lehmi ning rasvunud sigu täis suurfarmid koos mõne armetult kõhna vaaruva töölisega . 
91	NA	 Ärge arvake , härrased , et neil pole probleeme . 
92	NA	 Ükski siga ei taha noa alla minna . 
93	NA	 Ja ükski heasüdamlik maamees neid torgata . 
94	NA	 Neil hetkil kõverdaksin pigem rahva lõbustamiseks oma karvakasvanud nägu , vitsutaksin banaane , näitaksin elurõõmsatele külastajatele sündsuse piires tagumikku . 
94	NA	 Neile see meeldib – vaoshoitud kastreeritud lõbusus . 
95	NA	 Eriti naistele ja lastele . 
96	NA	 Kuulen vahel praegugi kõrvus seda naeru segunemas litside nukrameelsega . 
96	NA	 Nemad ei pea enam muretsema reumaatiliste näppude pärast , paindumatute jalgade pärast . 
97	NA	 Sadakond püsiklienti ja oled omadega mäel . 
98	NA	 Paar-kolm rikaste armastust ja sa oled omadega mäel . 
99	NA	 Kui andunud paistavad siis su silmad . 
100	NA	 Armastus kaob , raha jääb . 
101	NA	 Nad ostavad su ära , kogenud tohter . 
102	NA	 Ja kogenematu prostituut . 
103	NA	 Ja prokurör . 
104	NA	 Poliitikutest me siinkohal ei räägi . 
104	NA	 Püüame siiski sündsuse piiresse jääda , kallid kolleegid . 
105	NA	 Sile lõug oli juba Vanas-Roomas keigari tunnus . 
105	NA	 Tol kaugel ajal kasutati habemeajamisel teisi instrumente , kuigi inimesed olid täpselt samasugused nagu praegu . 
105	NA	 Viimasel ajal olen mõelnud , et vaevalt isegi paremad . 
106	NA	 Nad olid siis julmad ja ajasid orasid tagumikku , eraldasid tulise rauaga kehast suguelundeid , torkasid silmi peast , raiusid jäsemeid otsast , venitasid keha toona uudsel leiutisel rattal ning solvasid meid , kallid sõbrad . 
106	NA	 Eriti valus oli , kui nad munandite kallale tulid . 
107	NA	 Vabandust , unustasin end hetkeks . 
107	NA	 Keda huvitab teise valu . 
108	NA	 Olgu see kui päratu tahes . 
109	NA	 Aga sa mõistad mind , kui juhtud säärane olema . 
110	NA	 Toona käivitati habemeajamismasinaid tehnika vähese arenemise tõttu vända abil , mida keerutasid kavalad naised . 
110	NA	 Kui jutt juba neile kaldus , siis suurerinnalised naised ( rinnavähk oli tol ajal peaaegu tundmatu ) , pikakoivalised naised , lamedarinnalised naised , laiapuusalised naised , ja pange tähele , mis eriti üllatav – krokodillilaadselt inetud naised . 
110	NA	 Nad on integreerunud tihedalt meiegi ühiskonda . 
110	NA	 Haaravad võimu . 
111	NA	 Kasvult olid nad praegustest väiksemad . 
111	NA	 Palju väiksemad . 
112	NA	 Ajan habet püüdlikult , sest aitab sellestki , kui teised su veremädanikuga nakatunud verd valavad . 
112	NA	 Bakterid tungivad läbi kogu su nõrga organismi otse südamesse , pannes su vatsalisele organile surmapõntsu . 
112	NA	 Nad närivad läbi su kärbuva selgroo , lagundavad kaarieserikkaid , kunagi nii terveid hambaid , annavad hoobi seljatagant . 
112	NA	 Mis hambaid – kihvu . 
112	NA	 Usku ja lootust raske haigus just ei süvenda . 
112	NA	 Usku , lootust , armastust . 
113	NA	 Nad ei võta füüsilist valu tekitades arvesse sinu sandistatud organismi iseärasusi . 
114	NA	 Ilmas on kahte tüüpi inimesi – ühed , kes lepivad kurva orjaseisusega ja teised , kes mingil tingimusel ei lepi . 
114	NA	 Viimased on intelligentsemad , ükskõik kui lollid nad ka ei oleks . 
114	NA	 Kahjuks ei sure paljud sellest väikesest inimkonna osast oma loomulikku surma . 
114	NA	 Nad puuakse oksa . 
114	NA	 Seda on eriti lootusetu taluda . 
115	NA	 Jändrikku männioksa . 
116	NA	 Oma käega ei tee ma seda mitte . 
117	NA	 Ärge lootkegi . 
118	NA	 Kalmistud on meil ilmselgelt ülerahvastatud . 
118	NA	 Võib juhtuda , et sulle pole seal laiutavate laipade tõttu koguni kohta . 
118	NA	 Ärge arvake , et nad kõik on peale maisest elust lahkumist maha rahunenud . 
118	NA	 Hoidke end nende raevu eest , ausad inimesed . 
118	NA	 Eriti ettevaatlik olge ühe küljepealse kusetoruga santkummituse suhtes . 
119	NA	 Tema nimi on Mohhom . 
120	NA	 Vennike on kibestunud seetõttu , et oma maise elu jooksul ei õnnestunud tal kordagi naisterahvale seksuaalselt läheneda . 
121	NA	 Tema toru nähes puhkesid kõik neiud hüsteeriliselt naerma . 
122	NA	 Isegi need , kellel huumorisoon täielikult puudus . 
123	NA	 Leidmata muldasängitamiskohta , tõused sa nördinult ja rahuldamatult puulatvade kohale , tiirutad elupuupõõsaste vahel , loendad raevus riste kokku . 
123	NA	 Varesed ja hakid kihutavad sust paremalt ja vasakult mööda , laulavad oma laule . 
123	NA	 Ja mine tea , kui midagi üle ei jää , põrutad ehk põrgu asemel otse tähistaevasse . 
123	NA	 Samal ajal kui teised su suguvennad kaevavad lagunema kippuvate vakladest puretud näppudega tunnelit üüratutesse sügavustesse , uuristavad muti kombel käike , vahetevahel abiks lõualuus hõredalt turritavaid hambad . 
123	NA	 Kuumus aina kasvab . 
124	NA	 Ainult ärge , palun , naerge mu üle , kui näete mu kõhna keha tungimas taevalaotusse , lõhestamas õhku koos kotkaste ja tuvidega . 
125	NA	 Varblased kadugu mu teelt . 
126	NA	 Tuvid ja tihased . 
127	NA	 Väikesed armetud olendid . 
128	NA	 Mitte palun . 
128	NA	 Lihtsalt , ärge irvitage . 
129	NA	 Habemeajamisvahuga ma väga ei lobista , sest ka teine kord läheb vaja . 
129	NA	 Lame kollakashall valgus vannitoas jätab sulle petliku mulje , et oled kalapime . 
129	NA	 Mitte kanapime , vaid kalapime , sest õhus ringleb vaatevälja ahendavat auru . 
129	NA	 Väike ruum , kõledus ja lagi . 
129	NA	 Kui siia lisada veel suure sauna kauge kumin , võidki üks kord lolliks minna . 
129	NA	 Kui sa ükskord tunned , et kogu maakera on sulle kollektiivse sauna pesuruum , kui sa märkad , et tagumikku sinu poole pööravad makaagid pole mitte metsikud ahvid vaid rõvedad liigikaaslased . 
130	NA	 Vaatad ringi ning märkad õudusega , et nad on kõik ühte sugu , londid lõdvalt rippu . 
130	NA	 See tähendab – keskmise sookaaslase keskmise erektsiooni seisundis . 
130	NA	 Ja kuidas sa ka ei pingutaks , ei suuda sa seda pilti silme eest rebida . 
131	NA	 Päevast päeva . 
132	NA	 Päevast päeva . 
133	NA	 See kerkib ikka ja jälle su silme ette . 
134	NA	 Sa libistad aeglaselt pilgu üle rohelise seina , aknaorvade rea , hallide kivipinkide , libeda betoonpõranda , punasenahalise mehe , tema armetu suguliikme . 
134	NA	 Endaga võideldes rebid pilgu uksele , duÜiruumile , voolavale veele , selle all sulistavale lampjalgsele härrasmehele , kelle elund on kergelt eregeerunud seisundis . 
134	NA	 Küllap mõtleb räigelt erootiliste fotode peale teatud ajakirjades . 
135	NA	 Piinlikkustundest sunnid end ikka ja jälle üha pesema ja pesema . 
136	NA	 Endaga võideldes rebid oma läbinägeliku pilgu reaalsuselt ja sukeldud hunnitutesse unelmatesse . 
136	NA	 Suurte tissidega naisi pole kuigi raske ette kujutada . 
136	NA	 Ei , mitte lihtsalt teisele poole kergkonstruktsioonist vaheseina , vaid sinna , kus möllavad orgiad . 
137	NA	 Kuid ometi ergutavad sind ka need reaalsuse pisut siivutud kilked . 
138	NA	 Lisavad asjale jumet . 
139	NA	 Liiga kahvatu on see muidu , lausa näljaselt haiglane . 
140	NA	 See unistus . 
141	NA	 Kui unistus kärbub reaalsuseks , siis sind enam pole . 
142	NA	 Väikest ja tähtsusetut . 
143	NA	 Sind enam pole . 
144	NA	 Veel hästi painduvate jalgadega . 
145	NA	 Sind , kes sa loodad veel ahvi ja prostituudi ameti ühendamisse . 
145	NA	 Sind , kes sa saaksid selle raske tööga kindla peale hakkama . 
145	NA	 Kui vaid antaks võimalus . 
146	NA	 Lõpetanud habemeajamise , viskasin vana Vene žileti tänavale . 
146	NA	 Neva , kui mäletate ? 
146	NA	 Las lõikavad veene . 
146	NA	 Mina ei ole selline mees . 
146	NA	 Üksikut hunti nii lihtsalt ei murra . 
146	NA	 Vaatan endale julgelt näkku , sellisena nagu olen , meeldivalt väike ja karvane . 
146	NA	 Unistuste seksikangelane . 
147	NA	 Hõõrusin lõuale töölistele määratud odekolonni “ Hellas ” , mis virgutab nende eneseteadvust , ja vaatasin endale näkku . 
148	NA	 
149	NA	 Laubale oli ilmunud korts . 
150	NA	 Aukuvajunud põsed rõhutasid seda veelgi teravamalt . 
150	NA	 Mis seal's ikka , mõtlesin pingega – vanadus . 
150	NA	 Kuigi nagu varavõitu , kolmkümmend kolm . 
151	NA	 Otsekoheselt öeldes tundsin end näruselt , ülimalt näruselt . 
152	NA	 Kui kogu ümbritsevale jamale lisada sinu enda tragöödia , siis mõistad suurepäraselt . 
152	NA	 Kui juhtud seda tüüpi olema . 
152	NA	 Kui oled nukraid raamatuid lugenud , õhtuti kamina ees tulle vahtinud , näljasel lapsel pead silitanud . 
153	NA	 Tõmbasin väriseva intelligendikäega üle aurava peegli ja kummardusin lähemale . 
153	NA	 Ma ei tahtnud temalt midagi teada , kõik oli kirjutatud mu oma näkku . 
153	NA	 Korts oli ülejäänud nahapinnast valgem ja õhetas . 
153	NA	 Tundsin , kuidas kogu nägu hakkas tasapisi huugama . 
153	NA	 Tõmbasin käega üle kurru . 
154	NA	 See oli paks . 
155	NA	 Voldiline . 
156	NA	 Lisaks olid silmades veresooned lõhkenud . 
157	NA	 Eriti vasakus . 
158	NA	 Kuid hetkekski ei samastanud ma end keevitajaga , selle rasket , tänuväärset ja tervistkahjustavat tööd tegeva meistrimehega . 
158	NA	 Piim siin ei aita . 
158	NA	 Seksuoloogide poolt soovitatav lemmikravivõte ammugi mitte . 
159	NA	 Nägin aga suurepäraselt , või pisut kehvemini . 
